company,peer
INFY,INFY
CERN,CERN
SCHW,SCHW
RJF,RJF
LPLA,LPLA
SIEB,SIEB
SF,SF
LTS,LTS
AMTD,AMTD
GCAP,GCAP
IBKR,IBKR
ASH,ASH
FMC,FMC
SSL,SSL
GRA,GRA
XOM,XOM
WLK,WLK
MMM,MMM
CE,CE
POL,POL
EMR,EMR
NJDCY,NJDCY
RBC,RBC
AOS,AOS
OSTK,OSTK
MELI,MELI
COST,COST
EXPE,EXPE
GOOGL,GOOGL
FISV,FISV
GRPN,GRPN
MSFT,MSFT
AMZN,AMZN
NEU,NEU
GRA,GRA
PPG,PPG
PG,PG
CHD,CHD
MOS,MOS
ROL,ROL
CLX,CLX
IFF,IFF
CMD,CMD
XEL,XEL
FE,FE
PNM,PNM
PCG,PCG
PNW,PNW
AVA,AVA
HE,HE
SRE,SRE
POR,POR
AEP,AEP
BSX,BSX
LMAT,LMAT
MDT,MDT
ICUI,ICUI
CRY,CRY
MMSI,MMSI
ATVI,ATVI
GLUU,GLUU
DIS,DIS
TTWO,TTWO
PTE,PTE
MSFT,MSFT
SNE,SNE
KNMCY,KNMCY
ZNGA,ZNGA
SBGSY,SBGSY
IBM,IBM
ROP,ROP
HON,HON
COMM,COMM
AME,AME
MSFT,MSFT
GE,GE
ABB,ABB
DHR,DHR
DUK,DUK
EE,EE
OGE,OGE
EXC,EXC
D,D
ED,ED
PPL,PPL
SO,SO
AEP,AEP
CMS,CMS
APA,APA
CHK,CHK
MRO,MRO
PXD,PXD
OXY,OXY
COP,COP
DVN,DVN
NBL,NBL
RRC,RRC
OKE,OKE
EPD,EPD
WMB,WMB
COG,COG
HSE,HSE
AR,AR
SWN,SWN
FICO,FICO
PAYX,PAYX
MCO,MCO
FISV,FISV
FIS,FIS
ADP,ADP
EXPGY,EXPGY
CLGX,CLGX
CTL,CTL
COR,COR
AKAM,AKAM
AMH,AMH
UDR,UDR
AVB,AVB
IRT,IRT
MAA,MAA
AMH,AMH
UDR,UDR
AVB,AVB
IRT,IRT
EQR,EQR
MAA,MAA
NUS,NUS
SSDOY,SSDOY
IPAR,IPAR
PG,PG
UL,UL
REV,REV
BDRFY,BDRFY
COTY,COTY
AVP,AVP
MHLD,MHLD
ACGL,ACGL
RNR,RNR
LNT,LNT
AGR,AGR
UTL,UTL
NGG,NGG
D,D
ED,ED
PPL,PPL
AEE,AEE
NEE,NEE
XEL,XEL
PEG,PEG
FE,FE
D,D
EIX,EIX
PPL,PPL
ETR,ETR
NRG,NRG
TRIP,TRIP
MMYT,MMYT
TZOO,TZOO
UPS,UPS
FDX,FDX
CHRW,CHRW
HUBG,HUBG
RLGT,RLGT
LSI,LSI
PSA,PSA
AKR,AKR
SP,SP
E,E
HFC,HFC
TOT,TOT
HES,HES
HON,HON
CVX,CVX
OXY,OXY
BP,BP
PSX,PSX
COP,COP
RDWR,RDWR
ALLT,ALLT
ATEN,ATEN
JNPR,JNPR
CSCO,CSCO
RNWK,RNWK
MEET,MEET
GOOGL,GOOGL
TWTR,TWTR
RENN,RENN
IAC,IAC
WB,WB
MSFT,MSFT
GWW,GWW
MSM,MSM
AXE,AXE
HDS,HDS
LAWS,LAWS
WCC,WCC
PMT,PMT
BDN,BDN
MAC,MAC
UPS,UPS
ATSG,ATSG
EXPD,EXPD
CHRW,CHRW
DPSGY,DPSGY
AIRT,AIRT
EEFT,EEFT
GPN,GPN
V,V
EVTC,EVTC
FISV,FISV
ADS,ADS
ACIW,ACIW
MA,MA
BAC,BAC
PNC,PNC
WFC,WFC
CBSH,CBSH
LCNB,LCNB
WTFC,WTFC
STI,STI
HBAN,HBAN
NEE,NEE
PEG,PEG
EXC,EXC
D,D
ED,ED
PPL,PPL
SO,SO
NRG,NRG
AEP,AEP
JKHY,JKHY
INTU,INTU
V,V
EBAY,EBAY
ACIW,ACIW
WU,WU
FIS,FIS
MA,MA
TMO,TMO
LLL,LLL
RTN,RTN
UTX,UTX
CUB,CUB
ESLT,ESLT
NOC,NOC
HON,HON
GD,GD
IEX,IEX
GGG,GGG
IR,IR
PH,PH
ITT,ITT
GRC,GRC
CFX,CFX
ITW,ITW
XYL,XYL
DOV,DOV
BWXT,BWXT
TPC,TPC
PWR,PWR
ACM,ACM
KBR,KBR
MTZ,MTZ
JEC,JEC
EMN,EMN
ASH,ASH
AVD,AVD
PPG,PPG
MBII,MBII
CHD,CHD
GCO,GCO
SCVL,SCVL
NKE,NKE
CAL,CAL
TM,TM
BMWYY,BMWYY
TSLA,TSLA
GM,GM
HMC,HMC
NSANY,NSANY
PUGOY,PUGOY
POAHY,POAHY
TTM,TTM
LGL,LGL
PRCP,PRCP
MLAB,MLAB
MKSI,MKSI
MAS,MAS
PATK,PATK
AWI,AWI
AMWD,AMWD
FII,FII
BLK,BLK
IGIFF,IGIFF
AMG,AMG
RIO,RIO
BBL,BBL
CVERDEC1,CVERDEC1
VALE,VALE
SCCO,SCCO
NEM,NEM
BHP,BHP
TECK,TECK
GMBXF,GMBXF
TLYS,TLYS
GES,GES
ANF,ANF
BKE,BKE
URBN,URBN
AEO,AEO
HNNMY,HNNMY
EXPR,EXPR
LLL,LLL
MSI,MSI
HON,HON
TRMB,TRMB
FLIR,FLIR
JOUT,JOUT
KVHI,KVHI
CMTL,CMTL
NCI,NCI
NLSN,NLSN
FORR,FORR
LMT,LMT
EADSY,EADSY
KTOS,KTOS
BAESY,BAESY
RTN,RTN
NOC,NOC
HON,HON
BA,BA
TXT,TXT
HTHIY,HTHIY
PHG,PHG
TMO,TMO
UTX,UTX
CAT,CAT
SIEGY,SIEGY
MMM,MMM
HON,HON
MDT,MDT
DHR,DHR
CAG,CAG
HAIN,HAIN
POST,POST
MDLZ,MDLZ
STFXY,STFXY
SJM,SJM
THS,THS
K,K
TM,TM
GNTX,GNTX
TSLA,TSLA
HMC,HMC
F,F
TTM,TTM
SNA,SNA
AAP,AAP
PRTS,PRTS
SMP,SMP
DORM,DORM
ORLY,ORLY
LKQ,LKQ
LLY,LLY
BIIB,BIIB
JNJ,JNJ
VRTX,VRTX
ABBV,ABBV
ILMN,ILMN
ALXN,ALXN
AMGN,AMGN
MRK,MRK
EEFT,EEFT
INTU,INTU
EVTC,EVTC
EBAY,EBAY
FISV,FISV
WU,WU
FIS,FIS
MA,MA
BAC,BAC
DB,DB
CSGKF,CSGKF
JPM,JPM
SMFG,SMFG
BCS,BCS
C,C
MS,MS
NKRKY,NKRKY
CTTAY,CTTAY
BRDCY,BRDCY
MGDDY,MGDDY
CTB,CTB
SNA,SNA
MSM,MSM
WSO.B,WSO.B
AXE,AXE
FAST,FAST
HDS,HDS
LAWS,LAWS
HWCC,HWCC
HSC,HSC
WCC,WCC
SLB,SLB
RES,RES
CKH,CKH
RDS.A,RDS.A
BKR,BKR
SPNV,SPNV
OII,OII
NOV,NOV
NR,NR
TTI,TTI
GIL,GIL
RL,RL
PVH,PVH
OXM,OXM
BMWYY,BMWYY
HMC,HMC
PII,PII
LLL,LLL
RTN,RTN
MSI,MSI
ITT,ITT
NOC,NOC
GD,GD
CMTL,CMTL
VSAT,VSAT
TCLRY,TCLRY
AVVIY,AVVIY
AEG,AEG
RLI,RLI
AIZ,AIZ
AFG,AFG
GNW,GNW
ACGL,ACGL
HALL,HALL
SIGI,SIGI
ATVI,ATVI
NTDOY,NTDOY
SGAMY,SGAMY
SGMS,SGMS
VIAB,VIAB
DIS,DIS
PTE,PTE
EA,EA
JAKK,JAKK
MAT,MAT
CYH,CYH
THC,THC
UHS,UHS
WELL,WELL
HTA,HTA
DOC,DOC
VTR,VTR
UHT,UHT
SBRA,SBRA
TIPT,TIPT
PESX,PESX
NBR,NBR
PTEN,PTEN
PDS,PDS
UNT,UNT
DO,DO
ABC,ABC
OMI,OMI
IDXX,IDXX
PDCO,PDCO
CAH,CAH
MCK,MCK
MDRX,MDRX
TOT,TOT
SNP,SNP
XOM,XOM
MRO,MRO
RDS.A,RDS.A
CVX,CVX
OXY,OXY
BP,BP
COP,COP
RDWR,RDWR
QUCCF,QUCCF
SFIV,SFIV
MAR,MAR
CHH,CHH
WYND,WYND
H,H
PHG,PHG
DGX,DGX
TMO,TMO
JNJ,JNJ
ABT,ABT
BSX,BSX
BDX,BDX
GE,GE
LL,LL
LOW,LOW
KGFHY,KGFHY
BLDR,BLDR
EMR,EMR
LMT,LMT
BAESY,BAESY
RTN,RTN
UTX,UTX
RYCEY,RYCEY
SAFRY,SAFRY
GE,GE
GD,GD
BA,BA
CAG,CAG
MRRTY,MRRTY
TSN,TSN
JBSAY,JBSAY
BRFS,BRFS
PPC,PPC
SEB,SEB
DRH,DRH
HT,HT
PEB,PEB
SOHO,SOHO
RLJ,RLJ
AHT,AHT
INN,INN
ORCL,ORCL
SMCI,SMCI
AAPL,AAPL
INTC,INTC
IBM,IBM
LNVGY,LNVGY
MSFT,MSFT
CSCO,CSCO
CAJ,CAJ
ANTM,ANTM
MOH,MOH
CNC,CNC
UNH,UNH
BBT,BBT
BAC,BAC
UBOH,UBOH
LCNB,LCNB
WSBC,WSBC
FFBC,FFBC
PRK,PRK
FITB,FITB
OVBC,OVBC
FNB,FNB
LMT,LMT
AVAV,AVAV
AJRD,AJRD
NOC,NOC
HON,HON
GD,GD
TMO,TMO
VIVO,VIVO
ABT,ABT
NEOG,NEOG
HSKA,HSKA
HSIC,HSIC
MSCI,MSCI
IBM,IBM
FDS,FDS
RELX,RELX
ENV,ENV
MORN,MORN
LECO,LECO
GGG,GGG
MIDD,MIDD
IR,IR
PH,PH
FLS,FLS
NDSN,NDSN
MMM,MMM
SWK,SWK
DOV,DOV
DGX,DGX
TMO,TMO
FLDM,FLDM
PACB,PACB
PKI,PKI
A,A
LMNX,LMNX
DHR,DHR
LLY,LLY
IONS,IONS
LGND,LGND
PFE,PFE
NVS,NVS
ARDX,ARDX
GERN,GERN
AVEO,AVEO
AMGN,AMGN
IMIAY,IMIAY
SPXC,SPXC
LII,LII
ATLCY,ATLCY
CUO,CUO
PH,PH
FLS,FLS
MXCYY,MXCYY
AAON,AAON
DOV,DOV
NVDA,NVDA
TXN,TXN
HPQ,HPQ
QCOM,QCOM
AMD,AMD
AMAT,AMAT
BOLYY,BOLYY
NDAQ,NDAQ
CBOE,CBOE
CME,CME
ACN,ACN
ORCL,ORCL
GOOGL,GOOGL
AAPL,AAPL
HPQ,HPQ
INTC,INTC
MSFT,MSFT
SAP,SAP
CSCO,CSCO
VMW,VMW
WRK,WRK
SEOAY,SEOAY
OJIPY,OJIPY
CMPC,CMPC
PKG,PKG
CLW,CLW
UFS,UFS
LAMR,LAMR
PUBGY,PUBGY
EBAY,EBAY
ADS,ADS
MDCA,MDCA
OMC,OMC
NCMI,NCMI
AMRS,AMRS
EL,EL
GRA,GRA
BCPC,BCPC
UG,UG
PG,PG
SXT,SXT
LRLCY,LRLCY
SCL,SCL
ADBE,ADBE
PAYX,PAYX
ORCL,ORCL
NUAN,NUAN
FISV,FISV
FIS,FIS
HRB,HRB
ADP,ADP
SAP,SAP
HOLX,HOLX
SNN,SNN
BSX,BSX
VAR,VAR
BDX,BDX
MDT,MDT
BAX,BAX
SYK,SYK
TFX,TFX
FMS,FMS
CG,CG
GBL,GBL
AB,AB
LAZ,LAZ
BLK,BLK
CNS,CNS
LM,LM
AMG,AMG
LPTH,LPTH
VIAV,VIAV
IIVI,IIVI
NOVT,NOVT
UTX,UTX
NOC,NOC
CIEN,CIEN
COHR,COHR
SCYX,SCYX
TMO,TMO
